player_name,elo,hard_elo,clay_elo,grass_elo,rank,rank_points,age,ht,is_left,matches_played,win_last_5,win_last_25,win_last_50,win_last_100,elo_grad_20,elo_grad_35,elo_grad_50,elo_grad_100
Gaston Gaudio,1615.9052869835832,1708.9030932774237,2036.5611121494967,1878.656535845642,174.0,285.0,46.1,175.0,0,594,0.2,0.28,0.36,0.47,-141.34493469195195,-252.13297652505048,-315.15244959872916,-510.37123317000896
Juan Manuel Cerundolo,1550.2838847973815,1525.825164453011,1410.0011036111134,1400.0,161.0,393.0,23.2,183.0,1,40,0.4,0.4,0.425,0.425,-20.794313215203147,-13.254745462779056,150.28388479738146,150.28388479738146
Sanchai Ratiwatana,1522.340112097007,1568.7952939245406,1586.5499730021907,1522.340112097007,1417.0,1.0,43.6,175.0,0,18,0.2,0.375,0.375,0.375,-68.23734862750575,-68.23734862750575,-68.23734862750575,-68.23734862750575
Christophe Tholl,1341.4190628646304,1367.1281697020202,1400.0,1341.4190628646304,2000.0,0.0,30.1,185.67156964873536,0,3,0.0,0.0,0.0,0.0,-58.580937135369595,-58.580937135369595,-58.580937135369595,-58.580937135369595
Jui Chen Hung,1403.0811120362973,1376.0649019922903,1403.0811120362973,1403.0811120362973,601.0,52.0,34.9,185.67156964873536,0,6,0.6,0.5,0.5,0.5,3.081112036297327,3.081112036297327,3.081112036297327,3.081112036297327
Sam Querrey,1605.62206606661,1375.4791126943123,1381.3003334111875,1685.8198968676202,287.0,172.0,37.8,198.0,0,717,0.2,0.32,0.34,0.47,-156.3682084214788,-184.2882114166248,-311.5364952253922,-210.9860511757638
Jing Zhu Yang,1572.9225841206053,1572.9225841206053,1572.9225841206053,1572.9225841206053,1076.0,3.0,49.0,186.27336318231923,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Dabul,1635.0788132479042,1567.7861680877652,1541.5603948647702,1512.5399478185548,164.0,332.0,41.3,170.0,1,41,0.2,0.32,0.36585365853658536,0.36585365853658536,47.78174361304582,88.42642952959613,151.00234629293004,151.00234629293004
Joao Fonseca,1647.5429395445315,1584.967110785326,1492.6858579611705,1400.0,145.0,409.0,19.3,185.0,0,19,1.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,247.54293954453146,247.54293954453146,247.54293954453146,247.54293954453146
Yoshihito Nishioka,1682.5194422733384,1714.3831910780693,1475.1765689883525,1302.4307148461717,60.0,854.0,30.0,170.0,1,284,0.6,0.6,0.54,0.54,41.99551756637379,-21.94698910928969,14.173012845113135,84.65471210675378
Laurent Bram,1349.597239326191,1318.4370644684373,1374.5062604616785,1349.597239326191,2000.0,0.0,40.8,185.67156964873536,0,13,0.4,0.15384615384615385,0.15384615384615385,0.15384615384615385,-50.4027606738091,-50.4027606738091,-50.4027606738091,-50.4027606738091
Genaro Deleon,1377.1861228604328,1400.0,1391.2898249789937,1377.1861228604328,2000.0,0.0,54.2,185.67156964873536,0,1,0.0,0.0,0.0,0.0,-22.81387713956724,-22.81387713956724,-22.81387713956724,-22.81387713956724
Tucker Vorster,1474.3291603712253,1431.325600573588,1400.0,1474.3291603712253,410.0,100.0,36.8,196.0,0,5,0.8,0.8,0.8,0.8,74.32916037122527,74.32916037122527,74.32916037122527,74.32916037122527
Joao Domingues,1536.837181974958,1425.0,1525.261601780019,1536.837181974958,169.0,292.0,31.3,178.0,0,13,0.4,0.5384615384615384,0.5384615384615384,0.5384615384615384,136.83718197495796,136.83718197495796,136.83718197495796,136.83718197495796
Karol Beck,1614.033492469551,1581.3694397930728,1475.804713013752,1666.3667397433344,143.0,370.0,43.4,180.0,0,190,0.2,0.24,0.24,0.35,-113.97404873002642,-267.3845019375856,-400.2580987981794,-323.62896160851164
John Paul Fruttero,1566.017592260695,1566.017592260695,1566.017592260695,1566.017592260695,205.0,185.0,44.4,185.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jicham Zaatini,1438.6016261013492,1594.3427435590586,1653.3623202403123,1649.9462348496656,2000.0,0.0,48.8,185.67156964873536,0,22,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,-233.04562995193146,-233.04562995193146,-233.04562995193146,-233.04562995193146
Pavel Vizner,1400.0,1400.0,1400.0,1400.0,2000.0,0.0,54.5,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beibit Zhukayev,1455.3253570951515,1501.239185247708,1455.3253570951515,1455.3253570951515,213.0,272.0,25.0,198.0,0,7,0.6,0.42857142857142855,0.42857142857142855,0.42857142857142855,55.3253570951515,55.3253570951515,55.3253570951515,55.3253570951515
Hector Moretti,1810.344077077088,1810.344077077088,1810.344077077088,1810.344077077088,228.0,146.0,52.4,170.0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Shvec,1792.7114318395695,1789.235242776957,1789.235242776957,1792.7114318395695,675.0,19.0,52.5,185.67156964873536,0,55,0.4,0.4,0.4,0.4,3.476189062612548,3.476189062612548,3.476189062612548,3.476189062612548
Slah Mbarek,1400.0,1400.0,1400.0,1400.0,1832.0,1.0,36.1,185.67156964873536,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Reichel,1669.1868021771584,1669.1868021771584,1669.1868021771584,1669.1868021771584,1154.0,4.0,53.9,193.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Papamalamis,1400.0,1400.0,1400.0,1400.0,721.0,37.0,19.8,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
