Round,Player1,Player2,Winner,Probability
1,Jannik Sinner,Nicolas Jarry,Jannik Sinner,0.9613666120532184
1,Tristan Schoolkate,Taro Daniel,Taro Daniel,0.501457894670165
1,Marcos Giron,Yannick Hanfmann,Marcos Giron,0.5830669834476839
1,Tomas Martin Etcheverry,Flavio Cobolli,Flavio Cobolli,0.7401792961430134
1,Hubert Hurkacz,Tallon Griekspoor,Hubert Hurkacz,0.5891536327424711
1,Miomir Kecmanovic,Dusan Lajovic,Miomir Kecmanovic,0.6246493770915542
1,Matteo Berrettini,Cameron Norrie,Cameron Norrie,0.5530655673259355
1,Zhizhen Zhang,Holger Rune,Holger Rune,0.8870241669962587
1,Stefanos Tsitsipas,Alex Michelsen,Stefanos Tsitsipas,0.5354853960599197
1,James Mccabe,Martin Landaluce,Martin Landaluce,0.6189770848387759
1,Gabriel Diallo,Luca Nardi,Gabriel Diallo,0.6005407785517808
1,Adrian Mannarino,Karen Khachanov,Karen Khachanov,0.8641575022780774
1,Francisco Cerundolo,Alexander Bublik,Francisco Cerundolo,0.5887893091191798
1,Facundo Diaz Acosta,Zizou Bergs,Zizou Bergs,0.7329773084125095
1,Tristan Boyer,Federico Coria,Tristan Boyer,0.6702493424526152
1,Botic Van De Zandschulp,Alex De Minaur,Alex De Minaur,0.8076673617957854
1,Taylor Fritz,Jenson Brooksby,Taylor Fritz,0.7932864906815787
1,Borna Coric,Cristian Garin,Borna Coric,0.6119824507212467
1,Francisco Comesana,Daniel Altmaier,Daniel Altmaier,0.5407973764310602
1,Gael Monfils,Giovanni Mpetshi Perricard,Gael Monfils,0.5138325189573049
1,Ben Shelton,Brandon Nakashima,Ben Shelton,0.6532673976280583
1,Pablo Carreno Busta,Kamil Majchrzak,Pablo Carreno Busta,0.5865757402338115
1,Roberto Bautista Agut,Denis Shapovalov,Denis Shapovalov,0.7564227078051902
1,Matteo Arnaldi,Lorenzo Musetti,Lorenzo Musetti,0.7281529358514627
1,Andrey Rublev,Joao Fonseca,Andrey Rublev,0.541374958989837
1,Lorenzo Sonego,Stan Wawrinka,Stan Wawrinka,0.6520323400377854
1,Thiago Seyboth Wild,Fabian Marozsan,Fabian Marozsan,0.6409146747391858
1,Arthur Rinderknech,Frances Tiafoe,Frances Tiafoe,0.8145952743528068
1,Alexei Popyrin,Corentin Moutet,Alexei Popyrin,0.6762058529796595
1,Rinky Hijikata,Mitchell Krueger,Rinky Hijikata,0.6985036278424129
1,Camilo Ugo Carabelli,Learner Tien,Learner Tien,0.7244380196693299
1,Kasidit Samrej,Daniil Medvedev,Daniil Medvedev,0.8328079838951079
1,Novak Djokovic,Nishesh Basavareddy,Novak Djokovic,0.9329233599182639
1,Jaime Faria,Pavel Kotov,Pavel Kotov,0.5106336013236094
1,Gauthier Onclin,Reilly Opelka,Reilly Opelka,0.7689434558502826
1,Sumit Nagal,Tomas Machac,Tomas Machac,0.8704835872301484
1,Jiri Lehecka,Li Tu,Jiri Lehecka,0.835497927182389
1,Hugo Gaston,Omar Jasika,Hugo Gaston,0.5010843222035829
1,David Goffin,Benjamin Bonzi,David Goffin,0.6378036262867065
1,Francesco Passaro,Grigor Dimitrov,Grigor Dimitrov,0.8420277259064664
1,Jack Draper,Mariano Navone,Jack Draper,0.8289224910531254
1,Thanasi Kokkinakis,Roman Safiullin,Thanasi Kokkinakis,0.5045250627876506
1,Damir Dzumhur,Aleksandar Vukic,Aleksandar Vukic,0.6246595120500534
1,Lukas Klein,Sebastian Korda,Sebastian Korda,0.8355787963235377
1,Jordan Thompson,Dominik Koepfer,Jordan Thompson,0.5538547688257082
1,Alexandre Muller,Nuno Borges,Nuno Borges,0.6395517485707483
1,Yoshihito Nishioka,Aziz Dougaz,Yoshihito Nishioka,0.6958051808468617
1,Alexander Shevchenko,Carlos Alcaraz,Carlos Alcaraz,0.9256703925666351
1,Casper Ruud,Jaume Munar,Casper Ruud,0.8084379434525631
1,Nikoloz Basilashvili,Jakub Mensik,Jakub Mensik,0.8392351512999039
1,Juncheng Shang,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,0.5874491743092857
1,Jan Lennard Struff,Felix Auger Aliassime,Felix Auger Aliassime,0.7522196695075727
1,Alejandro Tabilo,Roberto Carballes Baena,Alejandro Tabilo,0.5027779484245583
1,James Duckworth,Dominic Stricker,Dominic Stricker,0.790525776427663
1,Kei Nishikori,Thiago Monteiro,Kei Nishikori,0.7548981302368712
1,Christopher Oconnell,Tommy Paul,Tommy Paul,0.8876946557198895
1,Ugo Humbert,Matteo Gigante,Ugo Humbert,0.6988979385478463
1,Hady Habib,Bu Yunchaokete,Bu Yunchaokete,0.7152298046341998
1,Adam Walton,Quentin Halys,Quentin Halys,0.7590798388038824
1,Otto Virtanen,Arthur Fils,Arthur Fils,0.8523015227794823
1,Sebastian Baez,Arthur Cazaux,Arthur Cazaux,0.6686838778647393
1,Jacob Fearnley,Nick Kyrgios,Nick Kyrgios,0.8715079275814729
1,Pedro Martinez,Luciano Darderi,Luciano Darderi,0.500261758714976
1,Lucas Pouille,Alexander Zverev,Alexander Zverev,0.9202546197180044
2,Jannik Sinner,Taro Daniel,Jannik Sinner,0.9734151925859114
2,Marcos Giron,Flavio Cobolli,Flavio Cobolli,0.7534391333441384
2,Hubert Hurkacz,Miomir Kecmanovic,Hubert Hurkacz,0.663931813328445
2,Cameron Norrie,Holger Rune,Holger Rune,0.8104539415447214
2,Stefanos Tsitsipas,Martin Landaluce,Stefanos Tsitsipas,0.7364697847905934
2,Gabriel Diallo,Karen Khachanov,Karen Khachanov,0.7401355212002677
2,Francisco Cerundolo,Zizou Bergs,Francisco Cerundolo,0.5291837817020393
2,Tristan Boyer,Alex De Minaur,Alex De Minaur,0.8495182876354964
2,Taylor Fritz,Borna Coric,Taylor Fritz,0.7891416599823596
2,Daniel Altmaier,Gael Monfils,Gael Monfils,0.801766979359603
2,Ben Shelton,Pablo Carreno Busta,Ben Shelton,0.6520337450077731
2,Denis Shapovalov,Lorenzo Musetti,Denis Shapovalov,0.5188098757530698
2,Andrey Rublev,Stan Wawrinka,Andrey Rublev,0.6849158532647427
2,Fabian Marozsan,Frances Tiafoe,Frances Tiafoe,0.7273227434630349
2,Alexei Popyrin,Rinky Hijikata,Alexei Popyrin,0.5942130759070343
2,Learner Tien,Daniil Medvedev,Daniil Medvedev,0.8730200449962665
2,Novak Djokovic,Pavel Kotov,Novak Djokovic,0.9427809021274391
2,Reilly Opelka,Tomas Machac,Tomas Machac,0.6552512578291004
2,Jiri Lehecka,Hugo Gaston,Jiri Lehecka,0.6484247049792291
2,David Goffin,Grigor Dimitrov,Grigor Dimitrov,0.7929798048525943
2,Jack Draper,Thanasi Kokkinakis,Jack Draper,0.7272293336275136
2,Aleksandar Vukic,Sebastian Korda,Sebastian Korda,0.823637625411902
2,Jordan Thompson,Nuno Borges,Jordan Thompson,0.5759073452343044
2,Yoshihito Nishioka,Carlos Alcaraz,Carlos Alcaraz,0.9168388579270292
2,Casper Ruud,Jakub Mensik,Jakub Mensik,0.6657149207149733
2,Alejandro Davidovich Fokina,Felix Auger Aliassime,Felix Auger Aliassime,0.7496690960999629
2,Alejandro Tabilo,Dominic Stricker,Dominic Stricker,0.6033313617851532
2,Kei Nishikori,Tommy Paul,Tommy Paul,0.6761851781060837
2,Ugo Humbert,Bu Yunchaokete,Ugo Humbert,0.6150081399659834
2,Quentin Halys,Arthur Fils,Arthur Fils,0.8298408678017296
2,Arthur Cazaux,Nick Kyrgios,Nick Kyrgios,0.7391524988773748
2,Luciano Darderi,Alexander Zverev,Alexander Zverev,0.9514129020214177
3,Jannik Sinner,Flavio Cobolli,Jannik Sinner,0.9480057432107096
3,Hubert Hurkacz,Holger Rune,Holger Rune,0.6625425277880019
3,Stefanos Tsitsipas,Karen Khachanov,Stefanos Tsitsipas,0.5890423644471915
3,Francisco Cerundolo,Alex De Minaur,Alex De Minaur,0.7496441299041448
3,Taylor Fritz,Gael Monfils,Taylor Fritz,0.7917033349378034
3,Ben Shelton,Denis Shapovalov,Ben Shelton,0.5947550613072721
3,Andrey Rublev,Frances Tiafoe,Frances Tiafoe,0.6140540290488776
3,Alexei Popyrin,Daniil Medvedev,Daniil Medvedev,0.7732013902914368
3,Novak Djokovic,Tomas Machac,Novak Djokovic,0.8244860220790413
3,Jiri Lehecka,Grigor Dimitrov,Grigor Dimitrov,0.6683191186418315
3,Jack Draper,Sebastian Korda,Jack Draper,0.5311452718809099
3,Jordan Thompson,Carlos Alcaraz,Carlos Alcaraz,0.9011082902044253
3,Jakub Mensik,Felix Auger Aliassime,Jakub Mensik,0.5624486233310018
3,Dominic Stricker,Tommy Paul,Tommy Paul,0.751005012560303
3,Ugo Humbert,Arthur Fils,Arthur Fils,0.527322129078537
3,Nick Kyrgios,Alexander Zverev,Alexander Zverev,0.7954058033794816
4,Jannik Sinner,Holger Rune,Jannik Sinner,0.9202266185527738
4,Stefanos Tsitsipas,Alex De Minaur,Alex De Minaur,0.522944193324532
4,Taylor Fritz,Ben Shelton,Taylor Fritz,0.7400848885143382
4,Frances Tiafoe,Daniil Medvedev,Daniil Medvedev,0.779650749292454
4,Novak Djokovic,Grigor Dimitrov,Novak Djokovic,0.8226856854775317
4,Jack Draper,Carlos Alcaraz,Carlos Alcaraz,0.7322022398604893
4,Jakub Mensik,Tommy Paul,Tommy Paul,0.5989220633249257
4,Arthur Fils,Alexander Zverev,Alexander Zverev,0.8364395139634623
5,Jannik Sinner,Alex De Minaur,Jannik Sinner,0.9142153487816757
5,Taylor Fritz,Daniil Medvedev,Taylor Fritz,0.5220301390291588
5,Novak Djokovic,Carlos Alcaraz,Novak Djokovic,0.5009932502767132
5,Tommy Paul,Alexander Zverev,Alexander Zverev,0.7822756532614151
6,Jannik Sinner,Taylor Fritz,Jannik Sinner,0.8817551752734305
6,Novak Djokovic,Alexander Zverev,Novak Djokovic,0.5808746584335194
7,Jannik Sinner,Novak Djokovic,Jannik Sinner,0.7480118993113514
