p1_name,p2_name,round_num,target,Model_Prob_P1,Model_Prediction,Correct
Corentin Moutet,Mitchell Krueger,2.0,1.0,0.5741772016941491,1,1
Learner Tien,Daniil Medvedev,2.0,1.0,0.1269799550037335,0,0
Novak Djokovic,Jaime Faria,2.0,1.0,0.9235503371854578,1,1
Reilly Opelka,Tomas Machac,2.0,0.0,0.3447487421708996,0,1
Jiri Lehecka,Hugo Gaston,2.0,1.0,0.6484247049792293,1,1
Benjamin Bonzi,Francesco Passaro,2.0,1.0,0.5347786920871294,1,1
Jack Draper,Thanasi Kokkinakis,2.0,1.0,0.7272293336275136,1,1
Aleksandar Vukic,Sebastian Korda,2.0,1.0,0.17636237458809814,0,0
Jordan Thompson,Nuno Borges,2.0,0.0,0.5759073452343044,1,0
Yoshihito Nishioka,Carlos Alcaraz,2.0,0.0,0.08316114207297076,0,1
Casper Ruud,Jakub Mensik,2.0,0.0,0.3342850792850267,0,1
Alejandro Davidovich Fokina,Felix Auger Aliassime,2.0,1.0,0.2503309039000372,0,0
Roberto Carballes Baena,James Duckworth,2.0,1.0,0.5939442190640757,1,1
Kei Nishikori,Tommy Paul,2.0,0.0,0.32381482189391614,0,1
Ugo Humbert,Hady Habib,2.0,1.0,0.7239306391746786,1,1
Quentin Halys,Arthur Fils,2.0,0.0,0.17015913219827036,0,1
Arthur Cazaux,Jacob Fearnley,2.0,0.0,0.7126832315592877,1,0
Pedro Martinez,Alexander Zverev,2.0,0.0,0.05288070149341678,0,1
Jannik Sinner,Marcos Giron,3.0,1.0,0.9698549402260045,1,1
Miomir Kecmanovic,Holger Rune,3.0,0.0,0.19589382484754272,0,1
Alex Michelsen,Karen Khachanov,3.0,1.0,0.4135661906708539,0,0
Francisco Cerundolo,Alex De Minaur,3.0,0.0,0.2503558700958553,0,1
Taylor Fritz,Gael Monfils,3.0,0.0,0.7917033349378034,1,0
Ben Shelton,Lorenzo Musetti,3.0,1.0,0.54739296895466,1,1
Lorenzo Sonego,Fabian Marozsan,3.0,1.0,0.32937574976729894,0,0
Corentin Moutet,Learner Tien,3.0,0.0,0.4570723495466762,0,1
Novak Djokovic,Tomas Machac,3.0,1.0,0.8244860220790413,1,1
Jiri Lehecka,Benjamin Bonzi,3.0,1.0,0.7478646576460133,1,1
Jack Draper,Aleksandar Vukic,3.0,1.0,0.8348826744351352,1,1
Nuno Borges,Carlos Alcaraz,3.0,0.0,0.07486511190122516,0,1
Jakub Mensik,Alejandro Davidovich Fokina,3.0,0.0,0.6309729390762552,1,0
Roberto Carballes Baena,Tommy Paul,3.0,0.0,0.1548112764375793,0,1
Ugo Humbert,Arthur Fils,3.0,1.0,0.4726778709214629,0,0
Jacob Fearnley,Alexander Zverev,3.0,0.0,0.04880731872978639,0,1
Jannik Sinner,Holger Rune,4.0,1.0,0.9202266185527738,1,1
Alex Michelsen,Alex De Minaur,4.0,0.0,0.40825853973542126,0,1
Gael Monfils,Ben Shelton,4.0,0.0,0.3557298258566184,0,1
Lorenzo Sonego,Learner Tien,4.0,1.0,0.4240319727688867,0,0
Novak Djokovic,Jiri Lehecka,4.0,1.0,0.8827364363544127,1,1
Jack Draper,Carlos Alcaraz,4.0,0.0,0.2677977601395109,0,1
Alejandro Davidovich Fokina,Tommy Paul,4.0,0.0,0.19998580140639857,0,1
Ugo Humbert,Alexander Zverev,4.0,0.0,0.13775922481855166,0,1
Jannik Sinner,Alex De Minaur,5.0,1.0,0.9142153487816757,1,1
Ben Shelton,Lorenzo Sonego,5.0,1.0,0.7891647940963208,1,1
Novak Djokovic,Carlos Alcaraz,5.0,1.0,0.5009932502767132,1,1
Tommy Paul,Alexander Zverev,5.0,0.0,0.21772434673858485,0,1
Jannik Sinner,Ben Shelton,6.0,1.0,0.9331319137691395,1,1
Novak Djokovic,Alexander Zverev,6.0,0.0,0.5808746584335193,1,0
Jannik Sinner,Alexander Zverev,7.0,1.0,0.8259141547881963,1,1
